Store_ID,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
1,1037,2327,452,69302
2,1235,1745,200,58480
3,1908,2319,1366,124279
4,1072,1399,1478,97299
5,1767,1269,1028,96775
6,1905,1910,1323,113031
7,1715,1223,495,77504
8,1645,1306,783,82166
9,1847,2263,1162,114088
10,1960,1231,1413,118077
11,1144,1238,1293,90752
12,1129,1384,890,79185
13,1972,2055,770,105749
14,1583,1778,1301,110780
15,1749,2096,429,80587
16,1508,2240,723,93044
17,1390,1998,791,88242
18,1281,2076,423,68966
19,1178,1899,1334,97394
20,1276,1321,818,81083
21,1254,1952,1474,109709
22,1357,2467,413,81760
23,1914,2017,1075,114146
24,1468,1658,884,88767
25,1907,2075,398,90898
26,1252,1886,528,75019
27,1490,1355,1078,88888
28,1668,1873,1142,103741
29,1925,1751,1487,124505
30,1398,2128,1156,100454
31,1562,2207,412,76770
32,1580,2103,1065,106676
33,1215,1745,831,75921
34,1983,2158,1312,120574
35,1753,1982,1183,109612
36,1503,1277,449,64102
37,1478,2285,876,92270
38,1864,2053,1094,109212
39,1086,1748,623,68090
40,1141,1980,493,71523
41,1393,1637,243,59374
42,1007,2050,898,82047
43,1319,1962,969,88868
44,1829,1683,1051,102698
45,1534,2067,869,97467
46,1313,1941,1090,92815
47,1513,1881,248,73939
48,1896,1767,383,79639
49,1316,1633,1269,95379
50,1209,1378,720,75499
51,1264,1418,1253,90671
52,1728,1476,1480,109154
53,1653,1750,407,74078
54,1627,1649,987,91040
55,1431,2313,1484,118814
56,1633,1987,527,81631
57,1456,2223,585,79825
58,1542,2266,592,88641
59,1071,1297,545,60113
60,1387,2225,1064,102372
61,1454,1289,1487,104798
62,1917,2262,444,95071
63,1561,2108,238,72252
64,1313,1218,1433,99312
65,1515,2173,1381,112307
66,1964,1672,698,95172
67,1792,1692,1454,111759
68,1497,2351,1402,115664
69,1043,1471,803,76643
70,1588,1364,600,77667
71,1026,1554,1213,84360
72,1820,1327,1089,98694
73,1336,1438,563,68316
74,1621,1232,1266,103575
75,1883,1870,208,80734
76,1297,1207,574,69550
77,1466,2336,705,92344
78,1015,2274,1449,104478
79,1064,2384,1192,92173
80,1196,2011,461,74139
81,1025,2137,828,77050
82,1367,1909,301,63115
83,1738,2225,1318,114666
84,1471,1574,224,63854
85,1903,1379,374,72490
86,1282,1742,732,74901
87,1665,1889,1246,104766
88,1616,1935,1352,111372
89,1022,1965,867,83054
90,1777,1605,1199,105760
91,1707,1730,429,81180
92,1999,1886,1336,118516
93,1126,1372,684,70681
94,1279,1931,1269,95953
95,1381,2361,1262,104410
96,1356,1588,897,84323
97,1155,1277,1276,91902
98,1933,1711,1020,106892
99,1313,1351,1431,97786
100,1595,1295,589,75872
101,1166,1955,1385,101290
102,1648,2411,648,97263
103,1288,1941,637,72828
104,1418,1837,340,74050
105,1778,2288,1019,102612
106,1279,1284,1407,94907
107,1655,2457,1086,110521
108,1751,2292,766,94157
109,1087,2278,1329,100088
110,1793,1225,978,93826
111,1967,1611,1302,112646
112,1243,1768,966,84547
113,1348,1804,1052,94863
114,1586,1976,1492,119313
115,1190,2398,775,90000
116,1302,2235,335,74095
117,1928,2360,1294,122988
118,1728,1645,519,83384
119,1151,1351,1222,88175
120,1695,1417,1140,102558
121,1321,1666,525,70276
122,1369,2434,828,90191
123,1845,2229,1207,118096
124,1771,2079,544,85436
125,1896,2014,982,109375
126,1253,1317,899,73774
127,1461,2109,672,86585
128,1774,1858,946,103389
129,1564,2375,1257,108467
130,1469,1679,1219,97356
131,1454,1764,1227,96865
132,1514,2129,1009,95322
133,1588,2110,1071,101190
134,1987,1645,606,89944
135,1149,1953,1405,106223
136,1715,1528,1073,98405
137,1263,1202,794,70108
138,1077,1414,876,69567
139,1712,1457,1486,113997
140,1075,1272,315,55367
141,1332,1507,440,69943
142,1043,1655,1450,93466
143,1532,2301,262,79671
144,1542,2030,1258,108969
145,1548,2480,1266,115789
146,1871,1754,1081,109006
147,1775,1715,290,78805
148,1813,1765,890,97482
149,1964,2139,478,90055
150,1569,2213,202,74466
151,1752,2065,647,94601
152,1508,1899,1073,102509
153,1210,1522,328,61861
154,1096,2042,461,66625
155,1269,1803,400,70967
156,1010,2485,1148,99808
157,1279,2250,1233,107017
